country,type,release_year,total_titles
"Australia, United States",TV Show,2019,2
Austria,Movie,2020,2
Bangladesh,Movie,2018,2
Belgium,TV Show,2019,2
Belgium,TV Show,2021,2
"Belgium, France",Movie,2016,2
"Bulgaria, United States",Movie,2017,2
Canada,Movie,2006,2
Canada,Movie,2011,2
Canada,TV Show,2007,2
Canada,TV Show,2015,2
"Canada, South Africa",Movie,2018,2
"Canada, United States",Movie,2015,2
"Canada, United States",Movie,2019,2
"Canada, United States",Movie,2020,2
"Canada, United States",TV Show,1997,2
"Canada, United States",TV Show,2018,2
"Canada, United States, United Kingdom",Movie,2016,2
Chile,Movie,2016,2
Chile,Movie,2019,2
China,Movie,2020,2
China,TV Show,2010,2
China,TV Show,2012,2
China,TV Show,2015,2
China,TV Show,2016,2
"China, Canada, United States",Movie,2017,2
"China, Hong Kong",Movie,2018,2
Colombia,Movie,2019,2
Colombia,Movie,2020,2
Colombia,Movie,2021,2
Colombia,TV Show,2012,2
Colombia,TV Show,2016,2
Denmark,Movie,2018,2
Denmark,TV Show,2016,2
"Denmark, United States",TV Show,2020,2
Egypt,Movie,1976,2
Egypt,Movie,2004,2
Egypt,Movie,2007,2
Egypt,Movie,2015,2
Egypt,TV Show,2017,2
Egypt,TV Show,2020,2
France,TV Show,2014,2
France,TV Show,2015,2
France,TV Show,2016,2
France,TV Show,2021,2
"France, Belgium",Movie,2013,2
"France, Belgium",Movie,2019,2
"France, United States",TV Show,2018,2
"France, United States",TV Show,2021,2
Germany,Movie,2013,2
Germany,TV Show,2018,2
"Germany, United States",Movie,1999,2
"Germany, United States",Movie,2008,2
"Germany, United States",Movie,2009,2
"Germany, United States",Movie,2016,2
Hong Kong,Movie,1978,2
Hong Kong,Movie,1980,2
Hong Kong,Movie,1982,2
Hong Kong,Movie,1985,2
Hong Kong,Movie,1993,2
Hong Kong,Movie,1995,2
Hong Kong,Movie,2013,2
Hong Kong,Movie,2014,2
Hong Kong,Movie,2019,2
"Hong Kong, China",Movie,2013,2
"Hong Kong, China",Movie,2016,2
India,Movie,1971,2
India,Movie,1972,2
India,Movie,1973,2
India,Movie,1974,2
India,Movie,1975,2
India,Movie,1976,2
India,Movie,1977,2
India,Movie,1979,2
India,Movie,1980,2
India,Movie,1985,2
India,Movie,1986,2
India,Movie,1988,2
India,Movie,1989,2
India,TV Show,2012,2
"India, United States",Movie,2015,2
Ireland,TV Show,2018,2
Israel,Movie,2018,2
Israel,TV Show,2017,2
Israel,TV Show,2021,2
Italy,Movie,2015,2
Italy,TV Show,2016,2
Italy,TV Show,2021,2
Japan,Movie,2002,2
Japan,Movie,2003,2
Japan,Movie,2008,2
Japan,Movie,2010,2
Japan,Movie,2012,2
Japan,Movie,2014,2
Japan,Movie,2015,2
Japan,Movie,2021,2
Japan,TV Show,2003,2
Kuwait,Movie,2019,2
Kuwait,TV Show,2019,2
Lebanon,Movie,2010,2
Lebanon,TV Show,2018,2
Lebanon,TV Show,2019,2
Malaysia,Movie,2015,2
Mexico,Movie,2012,2
Mexico,TV Show,2004,2
Mexico,TV Show,2010,2
Mexico,TV Show,2017,2
"Mexico, United States",Movie,2017,2
"Mexico, United States",Movie,2019,2
"Mexico, United States",TV Show,2018,2
"Mexico, United States",TV Show,2020,2
Netherlands,Movie,2020,2
Netherlands,Movie,2021,2
